msg,Enough of pushing or jumping.Time to run!I probably needn't say this... but those spikes hurt!
objs.Player,1,3
objs.panels.RunPanel,4,3
objs.map.Sand,5,4
objs.map.Sand,6,4
objs.map.Sand,7,4
objs.map.Sand,8,4
objs.map.Sand,9,4
objs.map.Spike,5,5
objs.map.Spike,6,5
objs.map.Spike,7,5
objs.map.Spike,8,5
objs.map.Spike,9,5
objs.map.Sand,16,6
objs.map.Sand,17,6
objs.map.Sand,18,6
objs.map.Sand,19,6
objs.map.Sand,20,6
objs.map.Sand,21,6
objs.map.Sand,22,6
objs.map.Spike,10,7
objs.map.Spike,11,7
objs.map.Spike,12,7
objs.map.Spike,13,7
objs.map.Spike,14,7
objs.map.Spike,15,7
objs.map.Spike,16,7
objs.map.Spike,17,7
objs.map.Spike,18,7
objs.map.Spike,19,7
objs.map.Spike,20,7
objs.map.Spike,21,7
objs.map.Spike,22,7
objs.map.Sand,25,10
objs.map.Sand,26,10
objs.map.Sand,27,10
objs.map.Sand,28,10
objs.map.Sand,29,10
objs.map.Sand,30,10
objs.map.Sand,31,10
objs.map.Spike,25,11
objs.map.Spike,26,11
objs.map.Spike,27,11
objs.map.Spike,28,11
objs.map.Spike,29,11
objs.map.Spike,30,11
objs.map.Spike,31,11
objs.map.Sand,16,12
objs.map.Sand,17,12
objs.map.Sand,18,12
objs.map.Sand,19,12
objs.map.Sand,20,12
objs.map.Sand,21,12
objs.map.Spike,16,13
objs.map.Spike,17,13
objs.map.Spike,18,13
objs.map.Spike,19,13
objs.map.Spike,20,13
objs.map.Spike,21,13
objs.map.Spike,22,13
objs.map.Spike,23,13
objs.map.Spike,24,13
objs.map.Spike,13,14
objs.map.Spike,14,14
objs.map.Spike,15,14
objs.map.Sand,0,17
objs.map.Sand,1,17
objs.map.Sand,2,17
objs.map.Sand,3,17
objs.map.Sand,4,17
objs.map.Sand,5,17
objs.map.Sand,6,17
objs.map.Sand,7,17
objs.map.Spike,0,18
objs.map.Spike,1,18
objs.map.Spike,2,18
objs.map.Spike,3,18
objs.map.Spike,4,18
objs.map.Spike,5,18
objs.map.Spike,6,18
objs.map.Spike,7,18
objs.map.Spike,8,19
objs.map.Spike,9,20
objs.map.Sand,13,20
objs.map.Sand,14,20
objs.map.Sand,15,20
objs.map.Sand,16,20
objs.map.Sand,17,20
objs.map.Sand,18,20
objs.map.Spike,10,21
objs.map.Spike,11,21
objs.map.Spike,12,21
objs.map.Spike,13,21
objs.map.Spike,14,21
objs.map.Spike,15,21
objs.map.Spike,16,21
objs.map.Spike,17,21
objs.map.Spike,18,21
objs.map.Spike,19,22
objs.map.Spike,20,23
objs.map.Sand,23,23
objs.map.Sand,24,23
objs.map.Sand,25,23
objs.map.Sand,26,23
objs.map.Sand,27,23
objs.map.Sand,28,23
objs.map.Sand,29,23
objs.map.Sand,30,23
objs.map.Sand,31,23
objs.map.Spike,21,24
objs.map.Spike,22,24
objs.map.Spike,23,24
objs.map.Spike,24,24
objs.map.Goal,28,27
