msg,And now: multiple abilities!Unfotunately (for you)... you body can only handle one of those at the same time...
objs.Player,2,4
objs.panels.RunPanel,5,4
objs.map.Goal,29,4
objs.map.Sand,20,6
objs.map.Sand,21,6
objs.map.Sand,22,6
objs.map.Sand,23,6
objs.map.Sand,10,10
objs.map.Sand,11,10
objs.map.Sand,12,10
objs.map.Sand,13,10
objs.map.Sand,14,10
objs.map.Sand,15,10
objs.map.Sand,16,10
objs.map.Sand,17,10
objs.map.Sand,18,10
objs.map.Sand,19,10
objs.map.Spike,10,11
objs.map.Spike,11,11
objs.map.Spike,12,11
objs.map.Spike,13,11
objs.map.Spike,14,11
objs.map.Spike,15,11
objs.map.Spike,16,11
objs.map.Spike,17,11
objs.map.Spike,18,11
objs.map.Spike,19,11
objs.map.Sand,5,12
objs.map.Sand,6,12
objs.map.Sand,7,12
objs.map.Spike,9,12
objs.map.Spike,5,13
objs.map.Spike,6,13
objs.map.Spike,7,13
objs.map.Spike,8,13
objs.map.Sand,26,14
objs.map.Sand,27,14
objs.map.Sand,28,14
objs.map.Sand,29,14
objs.map.Sand,30,14
objs.map.Sand,31,14
objs.map.Spike,26,15
objs.map.Spike,27,15
objs.map.Spike,28,15
objs.map.Spike,29,15
objs.map.Spike,30,15
objs.map.Spike,31,15
objs.map.Sand,17,16
objs.map.Sand,18,16
objs.map.Sand,19,16
objs.map.Sand,20,16
objs.map.Sand,4,17
objs.map.Sand,5,17
objs.map.Sand,6,17
objs.map.Sand,7,17
objs.map.Spike,17,17
objs.map.Spike,18,17
objs.map.Spike,19,17
objs.map.Spike,20,17
objs.map.Spike,4,18
objs.map.Spike,5,18
objs.map.Spike,6,18
objs.map.Spike,7,18
objs.map.Spike,8,18
objs.map.Sand,9,19
objs.map.Sand,10,19
objs.map.Sand,11,19
objs.map.Spike,9,20
objs.map.Spike,10,20
objs.map.Spike,11,20
objs.map.Spike,12,20
objs.panels.JumpPanel,19,20
objs.map.Sand,13,21
objs.map.Sand,14,21
objs.map.Sand,15,21
objs.map.Sand,16,21
objs.map.Sand,17,21
objs.map.Sand,18,21
objs.map.Sand,19,21
objs.map.Sand,20,21
objs.map.Sand,21,21
objs.map.Sand,22,21
objs.map.Sand,23,21
objs.map.Sand,24,21
objs.map.Sand,25,21
objs.map.Spike,13,22
objs.map.Spike,14,22
objs.map.Spike,15,22
objs.map.Spike,16,22
objs.map.Spike,17,22
objs.map.Spike,18,22
objs.map.Spike,19,22
objs.map.Spike,20,22
objs.map.Spike,21,22
objs.map.Spike,22,22
objs.map.Spike,23,22
objs.map.Spike,24,22
objs.map.Spike,25,22
objs.map.Spike,26,22
objs.map.Spike,27,22
objs.map.Spike,28,22
objs.map.Spike,29,22
objs.map.Spike,30,22
objs.map.Spike,31,22
